sample,n_obs,lag_aic,stable,min_root_modulus,resid_whiteness_p,joint_federal_to_others_p,joint_others_to_federal_p
full,214,4,True,1.1472,0.0031,0.0356,0.0
pre_covid,194,4,True,1.1249,0.0001,0.0116,0.0
