caused,money_g,rate_federal,rate_mortgage,rate_business,rate_consumer
money_g,,0.0008,0.1053,0.0053,0.4386
rate_federal,0.5851,,0.6575,0.4509,0.6752
rate_mortgage,0.1848,0.0,,0.5422,0.72
rate_business,0.2104,0.028,0.0365,,0.2362
rate_consumer,0.5507,0.0001,0.0221,0.0468,
