measure,sample,lags,controls,regressor,n_obs,sum_coef,joint_p
pce,full_1959_2026,2,base+output,consumer,238,0.0181,0.1121
pce,full_1959_2026,2,base+output,federal,238,0.0058,0.9682
pce,full_1959_2026,2,base+output,ALL THREE (joint),238,,0.0467
pce,full_1959_2026,4,none,mortgage,236,0.0431,0.2958
pce,full_1959_2026,4,none,consumer,236,0.0241,0.028
pce,full_1959_2026,4,none,federal,236,0.021,0.8092
pce,full_1959_2026,4,none,ALL THREE (joint),236,,0.0258
pce,full_1959_2026,4,base,mortgage,236,0.0578,0.1808
pce,full_1959_2026,4,base,consumer,236,0.0267,0.0108
pce,full_1959_2026,4,base,federal,236,-0.0189,0.8403
pce,full_1959_2026,4,base,ALL THREE (joint),236,,0.0073
pce,full_1959_2026,4,base+output,mortgage,236,0.0564,0.2977
pce,full_1959_2026,4,base+output,consumer,236,0.0157,0.0292
pce,full_1959_2026,4,base+output,federal,236,-0.0153,0.9627
pce,full_1959_2026,4,base+output,ALL THREE (joint),236,,0.07
pce,post_1981_break,2,none,mortgage,175,0.0532,0.1042
pce,post_1981_break,2,none,consumer,175,0.0025,0.1562
pce,post_1981_break,2,none,federal,175,0.0411,0.0874
pce,post_1981_break,2,none,ALL THREE (joint),175,,0.0213
pce,post_1981_break,2,base,mortgage,175,0.0518,0.0872
pce,post_1981_break,2,base,consumer,175,0.003,0.1606
pce,post_1981_break,2,base,federal,175,0.0444,0.1576
pce,post_1981_break,2,base,ALL THREE (joint),175,,0.0501
pce,post_1981_break,2,base+output,mortgage,175,0.0503,0.1119
pce,post_1981_break,2,base+output,consumer,175,-0.0026,0.2198
pce,post_1981_break,2,base+output,federal,175,0.0489,0.1111
pce,post_1981_break,2,base+output,ALL THREE (joint),175,,0.0564
pce,post_1981_break,4,none,mortgage,173,0.0634,0.1334
pce,post_1981_break,4,none,consumer,173,-0.0255,0.012
pce,post_1981_break,4,none,federal,173,0.049,0.0656
pce,post_1981_break,4,none,ALL THREE (joint),173,,0.0111
pce,post_1981_break,4,base,mortgage,173,0.0691,0.0858
pce,post_1981_break,4,base,consumer,173,-0.021,0.0071
pce,post_1981_break,4,base,federal,173,0.0234,0.6296
pce,post_1981_break,4,base,ALL THREE (joint),173,,0.019
pce,post_1981_break,4,base+output,mortgage,173,0.0684,0.1292
pce,post_1981_break,4,base+output,consumer,173,-0.0265,0.015
pce,post_1981_break,4,base+output,federal,173,0.0234,0.3044
pce,post_1981_break,4,base+output,ALL THREE (joint),173,,0.0563
pce,pre_covid_1959_2019,2,none,mortgage,213,0.0532,0.0498
pce,pre_covid_1959_2019,2,none,consumer,213,0.0158,0.0272
pce,pre_covid_1959_2019,2,none,federal,213,0.0019,0.7135
pce,pre_covid_1959_2019,2,none,ALL THREE (joint),213,,0.0085
pce,pre_covid_1959_2019,2,base,mortgage,213,0.0568,0.0352
pce,pre_covid_1959_2019,2,base,consumer,213,0.0168,0.013
pce,pre_covid_1959_2019,2,base,federal,213,-0.0087,0.6674
pce,pre_covid_1959_2019,2,base,ALL THREE (joint),213,,0.0052
pce,pre_covid_1959_2019,2,base+output,mortgage,213,0.0615,0.0385
pce,pre_covid_1959_2019,2,base+output,consumer,213,0.0379,0.0069
pce,pre_covid_1959_2019,2,base+output,federal,213,-0.0064,0.7068
pce,pre_covid_1959_2019,2,base+output,ALL THREE (joint),213,,0.0109
pce,pre_covid_1959_2019,4,none,mortgage,211,0.0405,0.174
pce,pre_covid_1959_2019,4,none,consumer,211,0.0386,0.0024
pce,pre_covid_1959_2019,4,none,federal,211,-0.002,0.7121
pce,pre_covid_1959_2019,4,none,ALL THREE (joint),211,,0.0001
pce,pre_covid_1959_2019,4,base,mortgage,211,0.0543,0.1292
pce,pre_covid_1959_2019,4,base,consumer,211,0.0395,0.0026
pce,pre_covid_1959_2019,4,base,federal,211,-0.0272,0.6199
pce,pre_covid_1959_2019,4,base,ALL THREE (joint),211,,0.0012
pce,pre_covid_1959_2019,4,base+output,mortgage,211,0.0489,0.3261
pce,pre_covid_1959_2019,4,base+output,consumer,211,0.0143,0.0058
pce,pre_covid_1959_2019,4,base+output,federal,211,-0.0216,0.6737
pce,pre_covid_1959_2019,4,base+output,ALL THREE (joint),211,,0.0086
ppi,full_1959_2026,2,none,mortgage,238,0.2272,0.2209
ppi,full_1959_2026,2,none,consumer,238,0.0074,0.243
