variable,deterministic,n,adf_stat,adf_p,kpss_stat,kpss_p
log_m2_less_base,ct,253,-2.111,0.54,0.524,0.01
money_g,c,253,-2.163,0.2198,0.508,0.0399
log_real_gdp,ct,268,-1.831,0.6896,0.488,0.01
gdp_g,c,266,-10.262,0.0,0.504,0.0407
log_cpi,ct,264,-1.436,0.85,0.571,0.01
infl_cpi,c,264,-3.141,0.0237,0.51,0.0394
log_pce_price,ct,266,-1.361,0.872,0.577,0.01
infl_pce,c,266,-3.161,0.0224,0.558,0.0286
log_ppi_allcommodities,ct,266,-1.608,0.7892,0.442,0.01
infl_ppi,c,266,-6.838,0.0,0.138,0.1
log_gdp_deflator,ct,258,-1.994,0.6048,0.575,0.01
infl_gdpdef,c,265,-2.758,0.0646,0.555,0.0292
