impulse,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
mortgage,0.0,-1.1997,-0.0724,-0.4753,-0.4536,-0.4465,-0.0546,0.162,0.206,0.0975,0.0948,0.134,0.1232
business,0.0,0.4631,1.3687,0.8621,0.3784,0.4657,0.4566,0.223,0.1818,0.0703,0.0571,0.0282,0.0164
