quarter_end,beta_const,beta_d_rate_mortgage_lag1,beta_pce_real_g_lag1,beta_fed_debt_g_lag1,se_const,se_d_rate_mortgage_lag1,se_pce_real_g_lag1,se_fed_debt_g_lag1
1971-12-31,9.675026736121918,-0.4976614106338446,-0.02436475365137392,0.013895019021890975,1.074589054775916,0.6217516243561284,0.020900569163585826,0.050830013395012044
1972-03-31,10.725009203026202,-0.4963148351061609,-0.02436475356964729,0.01434505261650143,0.9091120538186909,0.6140025890929185,0.02556235116845419,0.05045482443335481
1972-06-30,11.147229153408254,-0.49462177195880985,-0.02436475354501011,0.014588612852061589,0.7845960400709395,0.6061979752019981,0.027844274400166832,0.04997862721274352
1972-09-30,11.65761760622017,-0.4930225423052137,-0.024364753548840268,0.014839887634895188,0.7643931912241896,0.5984055707240967,0.02784131034960657,0.04952558393315938
1972-12-31,13.243250273759505,-0.4914362812712314,-0.02436475346653233,0.015064617359120402,0.8201469614354009,0.590488013379049,0.027840778620555087,0.04907519390648422
1973-03-31,14.276164185714673,-0.49002112498532346,-0.02436475342063904,0.01517745994399286,0.9062050811124102,0.5824736602722635,0.027840778270780322,0.048627168179203664
1973-06-30,13.66572943011344,-0.4888173890212837,-0.024364753533967443,0.014662926336231591,0.8349656282299892,0.5743400207982322,0.027840777927964692,0.048284859281431704
1973-09-30,12.638727133693141,-0.4876471482480782,-0.024364753678778217,0.014040484536604586,0.7552566394247844,0.5660761794695235,0.027840777589984125,0.047968831062539435
1973-12-31,11.503399745235823,-0.4865923170852846,-0.024364753823385654,0.013421577670887017,0.8091950037468274,0.5575924175965326,0.02784077725217863,0.047656353653765
1974-03-31,11.44519004690307,-0.48099487353211146,-0.024364753952185056,0.012892378961035789,0.790552900289119,0.5502946147928476,0.027840776914954516,0.04733555246812104
1974-06-30,11.286325344588887,-0.47548645766496467,-0.024364754079728518,0.012341943522687165,0.7590538492388854,0.5428037746468583,0.027840776578055972,0.047043075535180105
1974-09-30,9.959960143984192,-0.46897826348370586,-0.024364754163444274,0.011659357371133466,0.7681498280286975,0.5353756339296672,0.027840776244938924,0.04674026174861813
1974-12-31,7.744806569619509,-0.4644425123718574,-0.024364754260503996,0.010964595985206632,0.831327782159211,0.5279399795261378,0.027840775912885782,0.04642721555614151
1975-03-31,5.579102579446138,-0.45972087756822777,-0.024364754356678286,0.010278510313648515,0.8582225319603815,0.521301549909359,0.02784077558232527,0.046110931431289984
1975-06-30,4.410994444341522,-0.454024639315628,-0.024364754514212328,0.009858347276286539,0.9522478743152616,0.5145458177322108,0.027840775264138678,0.04578562516299268
1975-09-30,5.661485426007765,-0.45622403406297474,-0.024364754587363452,0.010389176492430135,1.041193866884665,0.5085699787745286,0.02784077494737594,0.0454549144358272
1975-12-31,6.845421523233843,-0.4583214823987183,-0.02436475466505013,0.010885180437183123,1.0201391256174568,0.5024809167074948,0.02784077463509141,0.045200255536714355
1976-03-31,8.057180072802677,-0.4604031589238227,-0.024364754741096645,0.011393330164236383,1.0278460775605873,0.49625590166275146,0.02784077432390442,0.04492185846630522
1976-06-30,8.632864860383362,-0.46307300474795454,-0.02436475484556125,0.011601288076801927,1.0088437813332483,0.4899475080677206,0.027840774010866258,0.044659437490746266
1976-09-30,9.693239586069588,-0.4664716409676989,-0.024364754909946232,0.01203690146918606,0.9343680909647171,0.4836249165982997,0.027840773704425125,0.04441851695733792
1976-12-31,10.81687492252234,-0.4699020686441436,-0.02436475497191115,0.012496476184442688,0.8731736765878358,0.47710229879314375,0.02784077339609372,0.044171419066212386
1977-03-31,12.23192665330921,-0.4730419384155241,-0.02436475502112679,0.01303287446767936,0.8761090710485958,0.4704674838366512,0.02784077308756385,0.04388626908098849
1977-06-30,12.788280885793844,-0.4756407850731821,-0.02436475511658233,0.013278028049766726,0.8373638278391151,0.46362868968101156,0.02784077277999645,0.04361911002361156
1977-09-30,13.168218600631356,-0.47809781324005307,-0.02436475522067287,0.013474737358735526,0.7917307017742604,0.45660054237935616,0.027840772473269042,0.04335012843631965
1977-12-31,13.833105458672767,-0.4803845283305161,-0.024364755318326645,0.013697106349569176,0.8922575862834573,0.44932846248542735,0.027840772165528327,0.0430437413864565
1978-03-31,13.674936121579801,-0.4831758656367334,-0.024364755448334913,0.013580134897587741,0.8818784076341026,0.44181737143118005,0.027840771857317256,0.04282510629712035
1978-06-30,14.21809126825087,-0.4859234992905622,-0.02436475553462491,0.013693762333584238,0.8592697892559662,0.4340222139132695,0.027840771552594533,0.04260255180942425
1978-09-30,13.913732724519313,-0.4895127426010503,-0.024364755640747665,0.01355097807580535,0.8389190618940225,0.42592669729175175,0.027840771245749588,0.042382867270871184
1978-12-31,14.026292731765574,-0.4921633302995687,-0.024364755710031542,0.013480184928552914,0.8600425859477795,0.4176876008231106,0.027840770951984607,0.04212433180107349
1979-03-31,14.195065773539488,-0.4947544805967863,-0.024364755778331533,0.013428697648685893,0.8311796879046063,0.40907217283667247,0.027840770656782525,0.04190816597452951
1979-06-30,14.09388471003077,-0.497856815630584,-0.024364755855694215,0.013306367307885692,0.7812898729635188,0.4001710059516659,0.02784077036224746,0.0416973816514313
1979-09-30,13.568295368435322,-0.5015955939547896,-0.024364755942214517,0.013136971992790332,0.7867926618650567,0.3908289032116977,0.02784077006783054,0.041461185396308595
1979-12-31,12.329198187435006,-0.50665678405775,-0.024364756026799432,0.012883691072448574,0.8554581171903441,0.38099503244981037,0.027840769773597725,0.04119912415631326
1980-03-31,11.302244485940935,-0.5112821436579856,-0.024364756102803066,0.012695560759355677,0.9175879777013329,0.3705074525017515,0.027840769482395618,0.04096567014425221
1980-06-30,7.424056010269209,-0.5356927196642132,-0.024364756208405367,0.011771883621462052,0.8977613042133825,0.3610098225497692,0.027840769191413588,0.040728641990597454
1980-09-30,8.237519577786665,-0.5307914042023295,-0.024364756342041646,0.012015686242638693,0.8370493725553386,0.35195559494820555,0.02784076890017802,0.04048524145006296
1980-12-31,9.362810366039405,-0.5246853179045516,-0.024364756505347196,0.012318308436657967,0.8760354781999573,0.34295501948196067,0.027840768633111277,0.04020816154556906
1981-03-31,9.639683103296266,-0.5107033193839836,-0.024364756707314986,0.012289362299158543,0.9190243672511619,0.3409622587894764,0.027840768369829745,0.03994744921473807
1981-06-30,11.006247023687498,-0.4877052806159422,-0.024364756848195848,0.012569883534697764,0.9352243594002813,0.34236132699503813,0.027840768113533997,0.03966924093919043
1981-09-30,10.161713269502236,-0.47511678949104813,-0.024364757019964045,0.011921601990730186,0.8607657062869687,0.343155344930224,0.02784076785687471,0.03947613932404945
1981-12-31,8.758381442286563,-0.4657768533891733,-0.02436475719190178,0.011228853257602464,0.8975033206835488,0.3435575731013084,0.027840767600206352,0.03924561472095712
1982-03-31,7.987875572743539,-0.45266386806972586,-0.024364757351640322,0.0107349514362567,0.871773711536957,0.34436972533188853,0.02784076734467995,0.03902808022320086
1982-06-30,7.144001367252761,-0.4396872846323543,-0.024364757509275393,0.010215129999475252,0.8649012190355196,0.3446142186875978,0.027840767092441213,0.038815436027612706
1982-09-30,5.512245383003774,-0.42538661352471047,-0.024364757691063495,0.00941058732510667,0.8612714072169191,0.3443975958804999,0.027840766842114777,0.03860489464767392
1982-12-31,5.133940766372777,-0.4153311748484651,-0.024364757856926836,0.008854907452763582,1.045748544026098,0.343842042209173,0.027840766591319194,0.038315455730984244
1983-03-31,6.461283124408068,-0.41013073847571374,-0.024364757975189326,0.009410453121256313,1.1275723352790665,0.3421326262639322,0.027840766339936145,0.03821505790476052
1983-06-30,8.24998777125576,-0.41020788435545463,-0.02436475805998667,0.010217766673442995,1.0337086065924332,0.3448968237440699,0.027840766092689283,0.03810413805685938
1983-09-30,10.298604690871914,-0.41164734117965207,-0.02436475813410259,0.01114214416583519,1.0766375871984373,0.34731588892481324,0.02784076584270006,0.03791415245538505
1983-12-31,11.92225043986901,-0.41249393277731305,-0.024364758244001923,0.011777864960595366,0.9969471756235907,0.3491613138307724,0.027840765597825005,0.03787712335138812
1984-03-31,13.824446350763472,-0.4120617844573003,-0.024364758333221714,0.012551633303942978,0.8844924591534643,0.352063499048901,0.02784076535535815,0.03784707707266434
