variable,alpha_ec1,alpha_ec2,alpha_ec3,beta_ec1,beta_ec2,beta_ec3
rate_federal_10y,-0.028215395096414096,0.1320630089204295,-0.04759375312483628,1.0,1.3469177168025152e-16,4.4096180999043244e-17
rate_mortgage_30y,0.17342599547712556,0.0019490697071805091,-0.11361317293957021,1.6379152887929866e-16,0.9999999999999999,1.294324369396091e-16
rate_business_baa,0.07184856066994592,0.1664105184045086,-0.19545699801706556,-4.254241270769473e-17,-2.1737565535271698e-17,1.0
rate_consumer_personal24m,0.05395253818249383,0.11086082514469973,-0.04829424520622032,-1.4622461883601672,-1.456674500820408,-1.3771237452310183
