quarter_end,beta_mortgage_m2_less_base_market_lean,se_mortgage_m2_less_base_market_lean,beta_mortgage_m2_less_base_market_controlled,se_mortgage_m2_less_base_market_controlled,beta_mortgage_base_market_lean,se_mortgage_base_market_lean,beta_mortgage_base_market_controlled,se_mortgage_base_market_controlled,beta_mortgage_m2_less_base_implied_lean,se_mortgage_m2_less_base_implied_lean,beta_mortgage_m2_less_base_implied_controlled,se_mortgage_m2_less_base_implied_controlled,beta_mortgage_base_implied_lean,se_mortgage_base_implied_lean,beta_mortgage_base_implied_controlled,se_mortgage_base_implied_controlled,beta_consumer_m2_less_base_market_lean,se_consumer_m2_less_base_market_lean,beta_consumer_m2_less_base_market_controlled,se_consumer_m2_less_base_market_controlled,beta_consumer_base_market_lean,se_consumer_base_market_lean,beta_consumer_base_market_controlled,se_consumer_base_market_controlled,beta_consumer_m2_less_base_implied_lean,se_consumer_m2_less_base_implied_lean,beta_consumer_m2_less_base_implied_controlled,se_consumer_m2_less_base_implied_controlled,beta_consumer_base_implied_lean,se_consumer_base_implied_lean,beta_consumer_base_implied_controlled,se_consumer_base_implied_controlled,beta_business_m2_less_base_market_lean,se_business_m2_less_base_market_lean,beta_business_m2_less_base_market_controlled,se_business_m2_less_base_market_controlled,beta_business_base_market_lean,se_business_base_market_lean,beta_business_base_market_controlled,se_business_base_market_controlled,beta_business_m2_less_base_implied_lean,se_business_m2_less_base_implied_lean,beta_business_m2_less_base_implied_controlled,se_business_m2_less_base_implied_controlled,beta_business_base_implied_lean,se_business_base_implied_lean,beta_business_base_implied_controlled,se_business_base_implied_controlled
1959-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949689037589,0.042301324695119165,,,-0.012007129271108561,0.011173541104344459,,,-0.03872193122513105,0.21782518248663066,,,-0.007539289651658703,0.01152573272144535,,,-0.03999323526824054,0.20373771666402102,,,-0.0003169124903091411,0.010772107040304237,,
1959-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949690911533,0.0422992907725669,,,-0.012007129303015063,0.011174508252206233,,,-0.03696946584209804,0.21498228314676845,,,-0.007539289541645733,0.011518796795824028,,,-0.03881336142313607,0.20128236271162886,,,-0.0003169124342593532,0.01078071040670827,,
1960-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949680154893,0.042298437032914867,,,-0.012007129314812737,0.011176182426063526,,,-0.03605025807560591,0.21196247957067108,,,-0.007539289530650528,0.011506368450562736,,,-0.038211852838723304,0.19869118040939462,,,-0.0003169124338608942,0.010754292849264572,,
1960-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949672656069,0.04229843659371536,,,-0.012007129296645935,0.011176180710096503,,,-0.03522168328140596,0.2087897840014191,,,-0.007539289539841398,0.011506194402703044,,,-0.03767688290430965,0.19599049727101986,,,-0.0003169124359990727,0.010753913011999992,,
1960-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.0889794966106241,0.042298436302793854,,,-0.012007129188433385,0.011176179842287066,,,-0.03602112761184256,0.20578927872623126,,,-0.007539289510670399,0.011506193711388307,,,-0.03830908548836412,0.19339403011647288,,,-0.00031691241507401935,0.010753912519799916,,
1960-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949649695358,0.042298436010892386,,,-0.012007129077359013,0.011176178937816639,,,-0.035039241206723526,0.2023877284563125,,,-0.0075392894661232834,0.011506193020548776,,,-0.037621226826405396,0.1905267283029192,,,-0.00031691238390101073,0.010753912028026578,,
1961-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949641415703,0.0422984357226186,,,-0.012007128967858938,0.011176178033328927,,,-0.03765437143267719,0.2000448729297817,,,-0.007539289419109835,0.011506192329692458,,,-0.039611166546382415,0.18843925342965456,,,-0.00031691235114246485,0.010753911536252903,,
1961-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949634688065,0.04229843543322463,,,-0.012007128860239913,0.011176177128807896,,,-0.036118125703623855,0.19726147414022602,,,-0.007539289376972874,0.011506191638825677,,,-0.038519184483075286,0.18604809839945885,,,-0.00031691232155819926,0.010753911044471825,,
1961-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.0889794964448652,0.04229843514764989,,,-0.01200712888905986,0.011176176227426421,,,-0.03608136437638004,0.19571105826247218,,,-0.007539289326833357,0.01150619095051438,,,-0.038490810736837994,0.18452445256698644,,,-0.0003169122858757978,0.010753910554268354,,
1961-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.08897949656665435,0.04229843486218066,,,-0.012007128908356923,0.011176175326423324,,,-0.03356990920795336,0.19406828193229067,,,-0.0075392892654221055,0.01150619026251546,,,-0.03667049419293,0.1829548655170629,,,-0.00031691224276145236,0.010753910064235522,,
