window_end,cpi,pce,ppi,gdpdef
1974-03-31,0.3486302494329679,0.5611445852735039,0.06861423344358114,0.3304232452668687
1974-06-30,0.30604011967192235,0.5667682908273585,0.0513785758544487,0.6286917960973053
1974-09-30,0.41206168121002673,0.8151061844048074,0.02355633940990262,0.3238858826955079
1974-12-31,0.5827829400834165,0.7793113447978423,0.028013528704410515,0.3170314854802371
1975-03-31,0.3862044366913759,0.5616051831189879,0.06328730816034756,0.13514474075450444
1975-06-30,0.7576261269831903,0.6130986422236735,0.06465246177670632,0.11105308855991536
1975-09-30,0.5886140675156553,0.3055467224862455,0.07177717839999984,0.11183076177995253
1975-12-31,0.5981171882567842,0.30276913473329026,0.21459030735928078,0.24613736927366228
1976-03-31,0.4712145807650263,0.1319922389537459,0.16983997428898384,0.4357769935435527
1976-06-30,0.41730275510359693,0.12841845152604425,0.21090923534644296,0.485324936754033
1976-09-30,0.2777588234147118,0.04838031191177763,0.21752584377624307,0.4280284943110605
1976-12-31,0.23127785101459752,0.05656479401368719,0.25180616799090044,0.349159977291294
1977-03-31,0.21792287263592383,0.060261170525916036,0.2752177310239465,0.3102104188548578
1977-06-30,0.2784656117110451,0.10309784823686302,0.2383629197769948,0.3584538985414858
1977-09-30,0.3907016123046415,0.14590942680519045,0.3148966494674755,0.3938763761068387
1977-12-31,0.42124116228418473,0.14345537060831193,0.32299615086306127,0.44757890558064617
1978-03-31,0.4052469366890526,0.13789273529403645,0.42473016695357546,0.42373549872036764
1978-06-30,0.4951802109725023,0.12865297788763824,0.463781733072548,0.4164544427218432
1978-09-30,0.5187837264590163,0.17056431964221433,0.37886493589234255,0.4125898239215354
1978-12-31,0.4590078601323292,0.176371764120133,0.38643882092688,0.369335495808673
1979-03-31,0.5596391951912478,0.20834411388773422,0.4819071939559122,0.3981272369484625
1979-06-30,0.5241709619840429,0.19143133020814934,0.5296602655862629,0.331910405042762
1979-09-30,0.4752534661044322,0.20678082851785487,0.5543201938476748,0.3494859661504647
1979-12-31,0.48274862488899273,0.27579901083317854,0.5201282836070216,0.45757639959721774
1980-03-31,0.49932932079769354,0.2483195862756033,0.4957796763797775,0.4311094015172343
1980-06-30,0.334280065941091,0.18557901707416413,0.3714776489161997,0.46489517609414466
1980-09-30,0.41344840333006094,0.13456544127363437,0.3498948588099735,0.4275715126423627
1980-12-31,0.30033416122609013,0.11009760005002396,0.24293137568686407,0.31729906433307353
1981-03-31,0.27201455711084066,0.1234538923861455,0.29979057648335444,0.3016575747790764
1981-06-30,0.33826208500028565,0.10195419361040764,0.318410576115247,0.31017785028816713
1981-09-30,0.4297329733650924,0.13356114074692088,0.24904071668056893,0.2614994475178857
1981-12-31,0.709211451853486,0.2638861251313364,0.5531173323444407,0.42007129074730165
1982-03-31,0.6957381957705345,0.20396116779384643,0.5373600419252279,0.38442444621021193
1982-06-30,0.7064260102318112,0.2036306030918798,0.5386210177504711,0.3837633617796705
1982-09-30,0.7380204052345516,0.2770335424235324,0.5671172697582694,0.3823208985343233
1982-12-31,0.6921971483330429,0.29404213944863655,0.6599707551067084,0.3971656889593521
1983-03-31,0.6670137108542404,0.25538119777576057,0.685910555543259,0.34359553799589354
1983-06-30,0.840457251744375,0.22104445158815259,0.6969768523303557,0.3261583904093376
1983-09-30,0.7529149948755525,0.06052384721148933,0.6490132387630606,0.27304855236022907
1983-12-31,0.7674108576746412,0.04126194340024255,0.7505083006079389,0.40502504681518886
1984-03-31,0.662375215320776,0.03915114506699023,0.7618447008676199,0.40303774307011736
1984-06-30,0.7466718050679655,0.05514582918515233,0.7788564987994285,0.4083943871856786
1984-09-30,0.8183871790060009,0.10134020197325487,0.9182295272548104,0.2043759655482623
1984-12-31,0.8797143823910257,0.10779464779773948,0.9699585709684597,0.4646013883289225
1985-03-31,0.8597848337828784,0.1372907276593353,0.9465508142004978,0.4948693214249734
1985-06-30,0.8497616514114478,0.13183760910168005,0.9340561679994781,0.4622217034873567
1985-09-30,0.8746167579350448,0.0911119304425902,0.9361975909788148,0.5831801538435464
1985-12-31,0.8822169727207663,0.09701487320744656,0.9315610313600655,0.6260599200320179
1986-03-31,0.8056376931037704,0.0789291282990876,0.891901562591363,0.7147627598753075
1986-06-30,0.6098205674018096,0.037798464244765254,0.8054296296365826,0.877957963266347
1986-09-30,0.7298978613576864,0.06473863564064522,0.8546199474050671,0.8842102413173561
1986-12-31,0.720747497372884,0.05319975128894401,0.8787864006606986,0.7349316545338287
1987-03-31,0.7842996888947307,0.09546313406305527,0.85424879014191,0.7670755279594115
1987-06-30,0.8640526534897776,0.12339644720929124,0.9426204490477624,0.7723491122770123
1987-09-30,0.8622010261508097,0.11211229977549379,0.9267499607132568,0.6176148228933893
