variable,alpha_ec1,alpha_ec2,beta_ec1,beta_ec2
log_fed_sec,-0.14350180982138286,-0.0073424957128711225,0.9999999999999999,1.4826317582028527e-19
log_base,-0.15791013060413686,-0.01561070459486495,2.846043736448974e-18,1.0
log_m2_less_base,0.03296897502869834,-0.0031125804435544993,0.4483317780347989,-0.8485602726733923
ffr,-0.013589483845571446,0.18487614201463298,0.06496715861554482,-0.17835027766855804
gs10,-0.0602330049710398,-0.2305494920319596,0.27125435577571494,0.6520756626583536
log_cpi,0.008592310472385657,-0.003756644803777516,-5.716923637804535,-1.3501945294345958
