spec,deterministic,k_ar_diff,rank,n_obs,llf,resid_whiteness_p,resid_normality_p,note
constant_only,co,1,2,95,946.5,0.0796,0.0,
constant_plus_trend,colo,1,4,95,975.7,0.1082,0.0,
