date,value
2010-12-29,1016102.0
2011-01-05,1030985.0
2011-01-12,1062061.0
2011-01-19,1079578.0
2011-01-26,1114448.0
2011-02-02,1138166.0
2011-02-09,1167087.0
2011-02-16,1190341.0
2011-02-23,1213425.0
2011-03-02,1236258.0
2011-03-09,1266069.0
2011-03-16,1280386.0
2011-03-23,1305239.0
2011-03-30,1333445.0
2011-04-06,1358207.0
2011-04-13,1374695.0
2011-04-20,1402494.0
2011-04-27,1413467.0
2011-05-04,1441855.0
2011-05-11,1466209.0
2011-05-18,1495166.0
2011-05-25,1519327.0
2011-06-01,1532236.0
2011-06-08,1554660.0
2011-06-15,1575939.0
2011-06-22,1601963.0
2011-06-29,1617060.0
2011-07-06,1624515.0
2011-07-13,1630414.0
2011-07-20,1634093.0
2011-07-27,1638161.0
2011-08-03,1640919.0
2011-08-10,1644743.0
2011-08-17,1647633.0
2011-08-24,1648435.0
2011-08-31,1652113.0
2011-09-07,1655599.0
2011-09-14,1658960.0
2011-09-21,1663105.0
2011-09-28,1664655.0
2011-10-05,1671784.0
2011-10-12,1668766.0
2011-10-19,1670256.0
2011-10-26,1678012.0
2011-11-02,1654195.0
2011-11-09,1668111.0
2011-11-16,1675836.0
2011-11-23,1664795.0
2011-11-30,1672038.0
2011-12-07,1675034.0
2011-12-14,1673475.0
2011-12-21,1684249.0
2011-12-28,1672092.0
2012-01-04,1663438.0
2012-01-11,1650843.0
2012-01-18,1651506.0
2012-01-25,1661529.0
2012-02-01,1662459.0
2012-02-08,1660692.0
2012-02-15,1667071.0
2012-02-22,1656581.0
2012-02-29,1661601.0
2012-03-07,1659279.0
2012-03-14,1659768.0
2012-03-21,1663484.0
2012-03-28,1664911.0
2012-04-04,1669371.0
2012-04-11,1681093.0
2012-04-18,1672141.0
2012-04-25,1667766.0
2012-05-02,1667630.0
2012-05-09,1665939.0
2012-05-16,1656793.0
2012-05-23,1656824.0
2012-05-30,1656675.0
2012-06-06,1664292.0
2012-06-13,1660158.0
2012-06-20,1663577.0
2012-06-27,1666530.0
2012-07-04,1666375.0
2012-07-11,1662637.0
2012-07-18,1648694.0
2012-07-25,1651432.0
2012-08-01,1649294.0
2012-08-08,1652416.0
2012-08-15,1646360.0
2012-08-22,1637152.0
2012-08-29,1639413.0
2012-09-05,1648862.0
2012-09-12,1650851.0
2012-09-19,1646098.0
2012-09-26,1648403.0
2012-10-03,1652944.0
2012-10-10,1653737.0
2012-10-17,1659084.0
2012-10-24,1646524.0
2012-10-31,1645334.0
2012-11-07,1651289.0
2012-11-14,1656833.0
2012-11-21,1650489.0
2012-11-28,1646645.0
2012-12-05,1653593.0
2012-12-12,1660807.0
2012-12-19,1658851.0
2012-12-26,1656930.0
2013-01-02,1666118.0
2013-01-09,1676307.0
2013-01-16,1688886.0
2013-01-23,1696691.0
2013-01-30,1710058.0
2013-02-06,1717182.0
2013-02-13,1728477.0
2013-02-20,1736456.0
2013-02-27,1749545.0
2013-03-06,1761763.0
2013-03-13,1769987.0
2013-03-20,1784652.0
2013-03-27,1794459.0
2013-04-03,1805639.0
2013-04-10,1814482.0
2013-04-17,1825042.0
2013-04-24,1836227.0
2013-05-01,1847983.0
2013-05-08,1854334.0
2013-05-15,1864508.0
2013-05-22,1877154.0
2013-05-29,1883559.0
2013-06-05,1898010.0
2013-06-12,1906079.0
2013-06-19,1918706.0
2013-06-26,1928416.0
2013-07-03,1942678.0
2013-07-10,1952529.0
2013-07-17,1961671.0
2013-07-24,1970003.0
2013-07-31,1982407.0
2013-08-07,1993375.0
2013-08-14,2001093.0
2013-08-21,2012169.0
2013-08-28,2023610.0
2013-09-04,2033290.0
2013-09-11,2041088.0
2013-09-18,2052055.0
2013-09-25,2062004.0
2013-10-02,2076927.0
2013-10-09,2086741.0
2013-10-16,2095034.0
2013-10-23,2106475.0
2013-10-30,2117750.0
2013-11-06,2125552.0
2013-11-13,2137037.0
2013-11-20,2150957.0
2013-11-27,2163666.0
2013-12-04,2169788.0
2013-12-11,2185719.0
2013-12-18,2197292.0
2013-12-25,2208829.0
2014-01-01,2208775.0
2014-01-08,2212924.0
2014-01-15,2220953.0
2014-01-22,2231430.0
2014-01-29,2243176.0
2014-02-05,2252973.0
2014-02-12,2261099.0
2014-02-19,2267872.0
2014-02-26,2278256.0
2014-03-05,2288453.0
2014-03-12,2295938.0
2014-03-19,2305795.0
2014-03-26,2311539.0
2014-04-02,2320653.0
2014-04-09,2326085.0
